Time,MF2_ANEMOMETER_RELATIVE_WIND_DIRECTION,MF2_ANEMOMETER_WIND_SPEED_KNOTS,SHIP_ANEMOMETER_1_RELATIVE,SHIP_ANEMOMETER_1_WINDSPEED,SHIP_ANEMOMETER_2_RELATIVE,SHIP_ANEMOMETER_2_WINDSPEED,SHIP_ANEMOMETER_3_RELATIVE,SHIP_ANEMOMETER_3_WINDSPEED
239:07:58:26.500,5,17.8,-8,20,6,20,-15,19
239:07:58:26.525,5,17.8,-8,20,6,20,-15,19
239:07:58:26.550,5,17.8,-8,20,6,20,-15,19
239:07:58:26.575,5,17.8,-8,20,6,20,-15,19
239:07:58:26.600,5,17.8,-8,20,6,20,-15,19
239:07:58:26.625,5,18.4,-8,20,6,20,-15,19
239:07:58:26.650,5,18.4,-8,20,6,20,-15,19
239:07:58:26.675,5,18.4,-8,20,6,20,-15,19
239:07:58:26.700,5,18.4,-8,20,6,20,-15,19
239:07:58:26.725,5,18.4,-8,20,6,20,-57,20
239:07:58:26.750,5,18.4,-8,20,6,20,-57,20
239:07:58:26.775,5,18.4,-8,20,6,20,-57,20
239:07:58:26.800,5,18.4,-8,20,6,20,-57,20
239:07:58:26.825,5,18.4,-8,20,6,20,-57,20
239:07:58:26.850,5,18.4,-7,20,6,20,-57,20
239:07:58:26.875,5,18.4,-7,20,6,20,-57,20
239:07:58:26.900,5,18.4,-7,20,6,20,-57,20
239:07:58:26.925,5,18.4,-7,20,7,20,-57,20
239:07:58:26.950,5,18.4,-7,20,7,20,-93,19
239:07:58:26.975,5,18.4,-7,20,7,20,-93,19
239:07:58:27.000,5,18.4,-7,20,7,20,-93,19
239:07:58:27.025,5,18.4,-7,20,7,20,-93,19
239:07:58:27.050,5,18.4,-7,20,7,20,-93,19
239:07:58:27.075,5,18.4,-7,20,7,20,-93,19
239:07:58:27.100,5,18.4,-7,20,7,20,-93,19
239:07:58:27.125,3,18,-7,20,7,20,-93,19
239:07:58:27.150,3,18,-7,20,7,20,-93,19
239:07:58:27.175,3,18,-7,20,7,20,-93,19
239:07:58:27.200,3,18,-7,20,7,20,-125,19
239:07:58:27.225,3,18,-7,20,7,20,-125,19
239:07:58:27.250,3,18,-7,20,7,20,-125,19
239:07:58:27.275,3,18,-7,20,7,20,-125,19
239:07:58:27.300,3,18,-7,20,7,20,-125,19
239:07:58:27.325,3,18,-7,20,7,20,-125,19
239:07:58:27.350,3,18,-6,20,7,20,-125,19
239:07:58:27.375,3,18,-6,20,7,20,-125,19
239:07:58:27.400,3,18,-6,20,7,20,-125,19
239:07:58:27.425,3,18,-6,20,8,20,-125,19
239:07:58:27.450,3,18,-6,20,8,20,-153,19
239:07:58:27.475,3,18,-6,20,8,20,-153,19
239:07:58:27.500,3,18,-6,20,8,20,-153,19
239:07:58:27.525,3,18,-6,20,8,20,-153,19
239:07:58:27.550,3,18,-6,20,8,20,-153,19
239:07:58:27.575,3,18,-6,20,8,20,-153,19
239:07:58:27.600,3,18,-6,20,8,20,-153,19
239:07:58:27.625,7,17.2,-6,20,8,20,-153,19
239:07:58:27.650,7,17.2,-6,20,8,20,-153,19
239:07:58:27.675,7,17.2,-6,20,8,20,-153,19
239:07:58:27.700,7,17.2,-6,20,8,20,-153,19
239:07:58:27.725,7,17.2,-6,20,8,20,-176,19
239:07:58:27.750,7,17.2,-6,20,8,20,-176,19
239:07:58:27.775,7,17.2,-6,20,8,20,-176,19
239:07:58:27.800,7,17.2,-6,20,8,20,-176,19
239:07:58:27.825,7,17.2,-6,20,8,20,-176,19
239:07:58:27.850,7,17.2,-27,20,8,20,-176,19
239:07:58:27.875,7,17.2,-27,20,8,20,-176,19
239:07:58:27.900,7,17.2,-27,20,8,20,-176,19
239:07:58:27.925,7,17.2,-27,20,8,20,-176,19
239:07:58:27.950,7,17.2,-27,20,8,20,162,18
239:07:58:27.975,7,17.2,-27,20,8,20,162,18
239:07:58:28.000,7,17.2,-27,20,8,20,162,18
239:07:58:28.025,7,17.2,-27,20,8,20,162,18
239:07:58:28.050,7,17.2,-27,20,8,20,162,18
239:07:58:28.075,7,17.2,-27,20,8,20,162,18
239:07:58:28.100,7,17.2,-24,20,8,20,162,18
239:07:58:28.125,9,18,-24,20,8,20,162,18
239:07:58:28.150,9,18,-24,20,8,20,162,18
239:07:58:28.175,9,18,-24,20,8,20,162,18
239:07:58:28.200,9,18,-24,20,8,20,143,18
239:07:58:28.225,9,18,-24,20,8,20,143,18
239:07:58:28.250,9,18,-24,20,8,20,143,18
239:07:58:28.275,9,18,-24,20,8,20,143,18
239:07:58:28.300,9,18,-24,20,8,20,143,18
239:07:58:28.325,9,18,-24,20,8,20,143,18
239:07:58:28.350,9,18,-22,20,8,20,143,18
239:07:58:28.375,9,18,-22,20,8,20,143,18
239:07:58:28.400,9,18,-22,20,8,20,143,18
239:07:58:28.425,9,18,-22,20,9,20,143,18
239:07:58:28.450,9,18,-22,20,9,20,127,17
239:07:58:28.475,9,18,-22,20,9,20,127,17
239:07:58:28.500,9,18,-22,20,9,20,127,17
239:07:58:28.525,9,18,-22,20,9,20,127,17
239:07:58:28.550,9,18,-22,20,9,20,127,17
239:07:58:28.575,9,18,-22,20,9,20,127,17
239:07:58:28.600,9,18,-20,20,9,20,127,17
239:07:58:28.625,11,18.1,-20,20,9,20,127,17
239:07:58:28.650,11,18.1,-20,20,9,20,127,17
239:07:58:28.675,11,18.1,-20,20,9,20,127,17
239:07:58:28.700,11,18.1,-20,20,9,20,127,17
239:07:58:28.725,11,18.1,-20,20,9,20,113,16
239:07:58:28.750,11,18.1,-20,20,9,20,113,16
239:07:58:28.775,11,18.1,-20,20,9,20,113,16
239:07:58:28.800,11,18.1,-20,20,9,20,113,16
239:07:58:28.825,11,18.1,-20,20,9,20,113,16
239:07:58:28.850,11,18.1,-20,20,9,20,113,16
239:07:58:28.875,11,18.1,-20,20,9,20,113,16
239:07:58:28.900,11,18.1,-20,20,9,20,113,16
239:07:58:28.925,11,18.1,-20,20,9,20,113,16
239:07:58:28.950,11,18.1,-20,20,9,20,100,16
239:07:58:28.975,11,18.1,-20,20,9,20,100,16
239:07:58:29.000,11,18.1,-20,20,9,20,100,16
239:07:58:29.025,11,18.1,-20,20,9,20,100,16
239:07:58:29.050,11,18.1,-20,20,9,20,100,16
239:07:58:29.075,11,18.1,-20,20,9,20,100,16
239:07:58:29.100,11,18.1,-20,20,9,20,100,16
239:07:58:29.125,7,20.2,-18,20,9,20,100,16
239:07:58:29.150,7,20.2,-18,20,9,20,100,16
239:07:58:29.175,7,20.2,-18,20,9,20,100,16
239:07:58:29.200,7,20.2,-18,20,9,20,88,16
239:07:58:29.225,7,20.2,-18,20,9,20,88,16
239:07:58:29.250,7,20.2,-18,20,9,20,88,16
239:07:58:29.275,7,20.2,-18,20,9,20,88,16
239:07:58:29.300,7,20.2,-18,20,9,20,88,16
239:07:58:29.325,7,20.2,-18,20,9,20,88,16
239:07:58:29.350,7,20.2,-16,20,9,20,88,16
239:07:58:29.375,7,20.2,-16,20,9,20,88,16
239:07:58:29.400,7,20.2,-16,20,9,20,88,16
239:07:58:29.425,7,20.2,-16,20,10,20,88,16
239:07:58:29.450,7,20.2,-16,20,10,20,78,16
239:07:58:29.475,7,20.2,-16,20,10,20,78,16
239:07:58:29.500,7,20.2,-16,20,10,20,78,16
239:07:58:29.525,7,20.2,-16,20,10,20,78,16
239:07:58:29.550,7,20.2,-16,20,10,20,78,16
239:07:58:29.575,7,20.2,-16,20,10,20,78,16
239:07:58:29.600,7,20.2,-37,20,10,20,78,16
239:07:58:29.625,4,18.5,-37,20,10,20,78,16
239:07:58:29.650,4,18.5,-37,20,10,20,78,16
239:07:58:29.675,4,18.5,-37,20,9,20,78,16
239:07:58:29.700,4,18.5,-37,20,9,20,78,16
239:07:58:29.725,4,18.5,-37,20,9,20,70,16
239:07:58:29.750,4,18.5,-37,20,9,20,70,16
239:07:58:29.775,4,18.5,-37,20,9,20,70,16
239:07:58:29.800,4,18.5,-37,20,9,20,70,16
239:07:58:29.825,4,18.5,-37,20,9,20,70,16
239:07:58:29.850,4,18.5,-33,20,9,20,70,16
239:07:58:29.875,4,18.5,-33,20,9,20,70,16
239:07:58:29.900,4,18.5,-33,20,9,20,70,16
239:07:58:29.925,4,18.5,-33,20,9,20,70,16
239:07:58:29.950,4,18.5,-33,20,9,20,104,16
239:07:58:29.975,4,18.5,-33,20,9,20,104,16
239:07:58:30.000,4,18.5,-33,20,9,20,104,16
239:07:58:30.025,4,18.5,-33,20,9,20,104,16
239:07:58:30.050,4,18.5,-33,20,9,20,104,16
239:07:58:30.075,4,18.5,-33,20,9,20,104,16
239:07:58:30.100,4,18.5,-30,20,9,20,104,16
239:07:58:30.125,2,17.5,-30,20,9,20,104,16
239:07:58:30.150,2,17.5,-30,20,9,20,104,16
239:07:58:30.175,2,17.5,-30,20,9,20,104,16
239:07:58:30.200,2,17.5,-30,20,9,20,135,15
239:07:58:30.225,2,17.5,-30,20,9,20,135,15
239:07:58:30.250,2,17.5,-30,20,9,20,135,15
239:07:58:30.275,2,17.5,-30,20,9,20,135,15
239:07:58:30.300,2,17.5,-30,20,9,20,135,15
239:07:58:30.325,2,17.5,-30,20,9,20,135,15
239:07:58:30.350,2,17.5,-27,21,9,20,135,15
239:07:58:30.375,2,17.5,-27,21,9,20,135,15
239:07:58:30.400,2,17.5,-27,21,9,20,135,15
239:07:58:30.425,2,17.5,-27,21,9,20,135,15
239:07:58:30.450,2,17.5,-27,21,9,20,161,15
239:07:58:30.475,2,17.5,-27,21,9,20,161,15
239:07:58:30.500,2,17.5,-27,21,9,20,161,15
239:07:58:30.525,2,17.5,-27,21,9,20,161,15
239:07:58:30.550,2,17.5,-27,21,9,20,161,15
239:07:58:30.575,2,17.5,-27,21,9,20,161,15
239:07:58:30.600,2,17.5,-45,21,9,20,161,15
239:07:58:30.625,1,17.5,-45,21,9,20,161,15
239:07:58:30.650,1,17.5,-45,21,9,20,161,15
239:07:58:30.675,1,17.5,-45,21,9,20,161,15
239:07:58:30.700,1,17.5,-45,21,9,20,161,15
239:07:58:30.725,1,17.5,-45,21,9,20,142,15
239:07:58:30.750,1,17.5,-45,21,9,20,142,15
239:07:58:30.775,1,17.5,-45,21,9,20,142,15
239:07:58:30.800,1,17.5,-45,21,9,20,142,15
239:07:58:30.825,1,17.5,-45,21,9,20,142,15
