	MF2_direction	MF2_WIND_DIRECTION	MF2_WIND_SPEED_KNOTS	SHIP_A2	SHIP_A3	SHIP_A2_WINDSPEED	SHIP_A3_WINDSPEED
R70	-71.46685983	288.5331402	26.43835567	-63.98732343	-52.91959435	16.85838464	27.2426657
R60	-57.7157519	302.2842481	23.30071397	-45.51941098	-49.43105756	19.85809906	21.88487282
R50	-49.72517617	310.2748238	24.79115951	-36.32351057	-57.49519539	25.28827675	24.42985266
R40	-40.51163127	319.4883687	19.20897269	-28.72041612	-34.19780379	20.30718104	24.06776477
R30	-27.4610951	332.5389049	25.48607109	-17.00384246	-27.21037464	28.63400576	32.16522574
R20	-21.25288901	338.747111	23.74568664	-9.223058318	-22.27358237	28.28728836	30.14727224
R10	-10.48274494	349.5172551	24.62614042	13.99166997	-21.39944466	29.00714002	27.63903213
0	2.291565429	0	25.60076362	10.96667824	-39.50711558	28.87018396	26.65984033
G10	11.31019437	11.31019437	25.98873463	17.70210234	9.315747719	29.30583102	29.69972233
G20	17.82665812	17.82665812	26.06411407	24.24351169	11.03300224	29.95097725	28.44569048
G30	32.26596759	32.26596759	20.18320093	34.26670904	19.42114183	24.3387353	21.4422201
G40	39.98697642	39.98697642	25.3593805	41.01759944	28.67441042	31.20661739	23.65223513
G50	48.71309563	48.71309563	28.261013	42.83072309	32.36887704	34.42919027	27.82305898
G60	62.79312179	62.79312179	24.6909945	55.88512675	37.42386102	23.78673994	18.09891863
G70	70.42857143	0	22.78571429	65.40714286	41.36071429	18.32142857	19.21785714
G80	82.16430346	82.16430346	25.88908054	100.2344686	62.13053647	9.003946791	13.55562052
