Time,MF2_ANEMOMETER_RELATIVE_WIND_DIRECTION,MF2_ANEMOMETER_WIND_SPEED_KNOTS,SHIP_ANEMOMETER_1_RELATIVE,SHIP_ANEMOMETER_1_WINDSPEED,SHIP_ANEMOMETER_2_RELATIVE,SHIP_ANEMOMETER_2_WINDSPEED,SHIP_ANEMOMETER_3_RELATIVE,SHIP_ANEMOMETER_3_WINDSPEED
237:23:22:03.000,93,39.4,85,20,132,13,61,19
237:23:22:03.500,95,37.1,85,20,122,16,61,20
237:23:22:04.000,96,34.6,86,21,121,14,61,21
237:23:22:04.500,107,33.2,86,21,120,13,61,21
237:23:22:05.000,109,31.2,84,21,115,14,60,22
237:23:22:05.500,112,28.3,84,22,111,15,61,22
237:23:22:06.000,96,30,84,21,135,15,60,21
237:23:22:06.500,93,31.9,85,21,162,13,60,21
237:23:22:07.000,86,35.1,84,21,146,12,59,21
237:23:22:07.500,92,35,85,21,120,11,59,22
237:23:22:08.000,93,34,84,21,108,11,59,22
237:23:22:08.500,96,31.8,85,21,100,11,60,22
237:23:22:09.000,76,34.5,85,20,100,11,60,22
237:23:22:09.500,70,34.5,86,20,100,11,60,22
237:23:22:10.000,69,37.3,87,19,92,12,60,22
237:23:22:10.500,67,36.9,89,17,84,12,60,22
237:23:22:11.000,69,35.2,84,16,73,10,59,22
237:23:22:11.500,71,36.7,82,16,69,9,59,22
237:23:22:12.000,73,38.1,82,16,74,8,60,21
237:23:22:12.500,72,39.1,83,16,82,8,62,20
237:23:22:13.000,76,38.1,82,17,101,7,62,20
237:23:22:13.500,80,36.9,83,17,108,6,62,19
237:23:22:14.000,83,35.4,83,17,123,6,63,19
237:23:22:14.500,86,35.8,83,17,135,6,63,19
237:23:22:15.000,87,33.5,84,17,142,6,63,20
237:23:22:15.500,87,34,84,17,147,6,63,20
237:23:22:16.000,87,32.6,85,17,139,8,62,22
237:23:22:16.500,85,34.4,86,18,128,11,62,22
237:23:22:17.000,79,36.9,85,18,117,12,62,21
237:23:22:17.500,77,35.8,86,18,109,11,62,21
237:23:22:18.000,78,36.5,84,17,127,10,61,21
237:23:22:18.500,81,35.9,84,17,157,9,61,21
237:23:22:19.000,79,35.3,84,17,163,8,62,20
237:23:22:19.500,80,35.6,83,17,162,8,62,20
237:23:22:20.000,82,34.8,84,17,166,8,62,22
237:23:22:20.500,84,34.6,84,17,167,8,62,22
237:23:22:21.000,84,33.8,84,16,148,9,61,23
237:23:22:21.500,82,33.6,84,16,126,10,61,23
237:23:22:22.000,81,35,83,16,129,11,61,22
237:23:22:22.500,82,35.2,83,15,130,11,62,22
237:23:22:23.000,83,35.8,83,15,122,11,60,22
237:23:22:23.500,83,36.4,83,15,114,11,61,22
237:23:22:24.000,83,35.8,83,16,108,11,62,20
237:23:22:24.500,84,34.3,83,16,104,11,63,18
237:23:22:25.000,82,34.8,83,16,99,11,63,18
237:23:22:25.500,79,33.9,83,16,90,11,64,18
237:23:22:26.000,81,33.2,82,16,93,9,64,17
237:23:22:26.500,82,32.6,82,16,99,8,66,16
237:23:22:27.000,80,32.5,81,16,107,7,67,16
237:23:22:27.500,80,33,82,16,120,6,68,15
237:23:22:28.000,84,33.7,82,16,143,6,68,14
237:23:22:28.500,84,35.1,83,15,165,5,68,12
237:23:22:29.000,79,36.6,83,16,147,5,68,12
237:23:22:29.500,79,36.8,82,16,140,4,68,12
237:23:22:30.000,84,34.8,81,17,158,4,67,12
237:23:22:30.500,88,34.9,81,18,-180,4,67,13
237:23:22:31.000,84,35.5,81,19,159,4,67,14
237:23:22:31.500,89,32.1,82,19,151,4,67,14
237:23:22:32.000,92,30.8,83,19,145,5,68,15
237:23:22:32.500,86,32.5,83,19,144,6,68,15
237:23:22:33.000,86,36,83,18,134,8,67,16
237:23:22:33.500,86,34.9,83,18,125,11,66,17
237:23:22:34.000,89,33.1,82,18,118,11,63,17
237:23:22:34.500,85,36.3,82,17,107,11,61,17
237:23:22:35.000,83,35.2,81,17,100,13,58,18
237:23:22:35.500,82,35.4,81,17,96,14,57,18
237:23:22:36.000,80,35.7,79,17,94,14,60,19
237:23:22:36.500,80,34.9,79,17,92,14,62,19
237:23:22:37.000,83,33.9,79,16,89,15,63,19
237:23:22:37.500,84,34.5,81,16,86,15,65,19
237:23:22:38.000,82,35.5,81,17,103,13,65,20
